HervalArroioGrandePelotas,"[(-32.025773, -53.395237), (-32.238502, -53.086325), (-31.756258, -52.357408)]"
HervalPedroOsorioPelotas,"[(-32.025773, -53.395237), (-31.861731, -52.821823), (-31.756258, -52.357408)]"
BagePinheiroMachadoPelotas,"[(-31.331718, -54.106236), (-31.578983, -53.38228), (-31.756258, -52.357408)]"
BagePiratini,"[(-31.331718, -54.106236), (-31.448516, -53.104176)]"
BagePedroOsorioArroioGrandeJaguarao,"[(-31.331718, -54.106236), (-31.861731, -52.821823), (-32.238502, -53.086325), (-32.566474, -53.376976)]"
ArroioGrandePedroOsorio,"[(-32.238502, -53.086325), (-31.861731, -52.821823)]"
BagePelotas,"[(-31.331718, -54.106236), (-31.756258, -52.357408)]"
CangucuPiratini,"[(-31.398296, -52.677099), (-31.358005, -52.775673), (-31.334761, -52.935271), (-31.378834, -53.115695), (-31.448516, -53.104176)]"
HervalPedroOsorio,"[(-32.025773, -53.395237), (-31.861731, -52.821823)]"
JaguaraoPedroOsorio,"[(-32.566474, -53.376976), (-31.861731, -52.821823)]"
PedrasAltasHerval,"[(-31.732389, -53.585572), (-32.025773, -53.395237)]"
PinheiroMachadoPedrasAltas,"[(-31.578983, -53.38228), (-31.732389, -53.585572)]"
PinheiroMachadoPedrasAltasHervalJaguarao,"[(-31.578983, -53.38228), (-31.732389, -53.585572), (-32.025773, -53.395237), (-32.566474, -53.376976)]"
PiratiniCerrito,"[(-31.448516, -53.104176), (-31.854553, -52.815038)]"
CerritoPedroOsorio,"[(-31.854553, -52.815038), (-31.861731, -52.821823)]"
ArroioGrandePelotas,"[(-32.238502, -53.086325), (-31.756258, -52.357408)]"
CangucuPelotas,"[(-31.398296, -52.677099), (-31.756258, -52.357408)]"
HervalArroioGrande,"[(-32.025773, -53.395237), (-32.238502, -53.086325)]"
JaguaraoArroioGrande,"[(-32.566474, -53.376976), (-32.238502, -53.086325)]"
JaguaraoPelotas,"[(-32.566474, -53.376976), (-31.756258, -52.357408)]"
PedroOsorioPelotas,"[(-31.861731, -52.821823), (-31.756258, -52.357408)]"
PedroOsorioBage,"[(-31.861731, -52.821823), (-31.331718, -54.106236)]"
PelotasPedroOsorioPiratini,"[(-31.756258, -52.357408), (-31.861731, -52.821823), (-31.448516, -53.104176)]"
PiratiniPinheiroMachadoviaJoaoSaraiva,"[(-31.448516, -53.104176), (-31.449274, -53.141566), (-31.442541, -53.172669), (-31.53803, -53.25551), (-31.578983, -53.38228)]"
PiratiniPelotas,"[(-31.448516, -53.104176), (-31.756258, -52.357408)]"
CerritoPassoDasPedrasFaixaPelotas,"[(-31.854553, -52.815038), (-31.851127, -52.675004), (-31.885771, -52.643772), (-31.756258, -52.357408)]"
